id,sent_neg,sent_neu,sent_pos,sent_compound,blob_pol,blob_subj
2142,0.166,0.755,0.079,-0.5106,0.0,0.0
10288,0.0,0.861,0.139,0.3374,0.2857142857142857,0.5357142857142857
8541,0.394,0.606,0.0,-0.3818,0.0,0.0
3772,0.515,0.485,0.0,-0.93,0.0,0.05
2500,0.223,0.777,0.0,-0.6486,0.1,0.7
10521,0.125,0.781,0.094,-0.1531,0.5,0.5
7404,0.383,0.617,0.0,-0.4767,0.0,0.0
6246,0.0,0.781,0.219,0.6369,0.37083333333333335,0.49583333333333335
7759,0.281,0.719,0.0,-0.6908,0.0,0.75
2362,0.133,0.696,0.171,0.1531,0.0,0.0
6730,0.0,0.872,0.128,0.3612,0.0,0.0
9508,0.0,0.649,0.351,0.4019,0.0,0.0
7362,0.279,0.721,0.0,-0.6841,0.0,0.0
1624,0.199,0.577,0.224,0.1027,-0.5,1.0
2274,0.0,1.0,0.0,0.0,0.0,0.0
5233,0.0,1.0,0.0,0.0,0.0,0.0
6091,0.0,0.792,0.208,0.6369,0.5,0.6
1488,0.0,1.0,0.0,0.0,0.0,0.0
7387,0.154,0.512,0.335,0.3818,0.2,0.2
8347,0.274,0.361,0.365,0.0665,0.0,0.0
6869,0.485,0.515,0.0,-0.6908,0.0,1.0
1081,0.0,0.637,0.363,0.6908,0.18333333333333335,0.8
6952,0.147,0.853,0.0,-0.2263,0.0,0.0
9348,0.0,0.752,0.248,0.5106,0.0,0.0
7157,0.0,0.899,0.101,0.2023,0.3111111111111111,0.5444444444444444
3979,0.683,0.317,0.0,-0.9169,0.0,0.0
7351,0.267,0.417,0.317,0.0516,0.2714285714285714,0.7404761904761905
2795,0.0,1.0,0.0,0.0,0.2,0.4
7911,0.081,0.919,0.0,-0.296,0.0,0.5333333333333333
5965,0.0,0.845,0.155,0.296,0.13636363636363635,0.45454545454545453
591,0.0,0.864,0.136,0.296,0.4166666666666667,0.5833333333333334
8726,0.0,0.884,0.116,0.4404,0.0,0.0
8078,0.253,0.562,0.185,-0.296,-0.2,0.0
7570,0.242,0.758,0.0,-0.6249,0.5,0.5
7532,0.0,1.0,0.0,0.0,0.0,0.5
9155,0.55,0.38,0.07,-0.9545,-0.15,0.2
1493,0.15,0.85,0.0,-0.5719,-0.8,0.9
4174,0.258,0.65,0.092,-0.5106,0.0,0.0
5509,0.0,0.664,0.336,0.765,0.5,0.5
10390,0.0,1.0,0.0,0.0,0.0,0.0
6953,0.0,1.0,0.0,0.0,0.0,0.0
1181,0.0,0.746,0.254,0.1779,0.0,0.0
7595,0.333,0.667,0.0,-0.128,0.2,0.9
10017,0.0,1.0,0.0,0.0,-0.16666666666666666,0.43333333333333335
1207,0.0,0.682,0.318,0.6369,1.0,0.3
8718,0.0,0.769,0.231,0.6124,0.0,0.0
7382,0.358,0.642,0.0,-0.5994,0.3333333333333333,0.5
2504,0.257,0.743,0.0,-0.6369,-0.3,0.4
9787,0.173,0.642,0.184,0.3071,-0.31666666666666665,0.6666666666666666
4041,0.425,0.575,0.0,-0.8779,-0.1601851851851852,0.23796296296296296
8237,0.266,0.543,0.19,-0.1027,0.0,0.0
3321,0.0,1.0,0.0,0.0,0.0,0.0
9845,0.345,0.655,0.0,-0.6436,-0.1,0.4
9825,0.249,0.597,0.154,-0.2263,0.1,0.26
8519,0.394,0.606,0.0,-0.3818,0.0,0.0
471,0.149,0.745,0.106,-0.1779,-0.11875,0.55
2172,0.48,0.52,0.0,-0.9169,0.0,0.3333333333333333
7325,0.0,1.0,0.0,0.0,0.0,0.0
7138,0.094,0.906,0.0,-0.3612,-0.19166666666666665,0.2916666666666667
8928,0.0,0.469,0.531,0.7783,0.6,1.0
7198,0.361,0.5,0.139,-0.6124,-0.05,0.4
5679,0.0,0.913,0.087,0.2732,0.0,0.0
10511,0.147,0.853,0.0,-0.2263,0.39285714285714285,0.7178571428571429
7585,0.242,0.758,0.0,-0.6249,0.5,0.5
840,0.214,0.677,0.109,-0.25,0.21428571428571427,0.5714285714285714
8369,0.565,0.435,0.0,-0.7579,0.0,0.0
7768,0.121,0.879,0.0,-0.296,0.0,0.0
6826,0.208,0.792,0.0,-0.6124,0.1,0.8
8933,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453
6274,0.0,0.781,0.219,0.6369,0.37083333333333335,0.49583333333333335
21,0.0,1.0,0.0,0.0,0.5,0.5
1053,0.0,1.0,0.0,0.0,-0.15000000000000002,0.5
9297,0.0,1.0,0.0,0.0,0.0,0.0
6857,0.299,0.53,0.17,-0.6597,0.0,0.45
2164,0.198,0.802,0.0,-0.4939,0.0,0.0
1568,0.39,0.61,0.0,-0.4939,-0.025,0.125
580,0.321,0.679,0.0,-0.6369,-0.6,0.8
2367,0.144,0.685,0.171,0.1027,-0.25,0.23333333333333334
10023,0.0,1.0,0.0,0.0,0.0,0.0
1358,0.0,0.833,0.167,0.4215,-0.27499999999999997,0.39166666666666666
4408,0.0,1.0,0.0,0.0,0.4,0.7
5527,0.0,0.829,0.171,0.5106,0.15,0.6833333333333335
